,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,Afghanistan,36782,35,1288,0,25669,0
1,Albania,5750,130,176,4,3031,0
2,Algeria,32504,532,1248,9,22375,474
3,Andorra,939,2,52,0,825,4
4,Angola,1344,64,59,1,503,27
5,Antigua and Barbuda,92,0,3,0,75,0
6,Argentina,213535,6792,3979,166,94129,2827
7,Armenia,39298,196,768,6,30372,511
8,Australia,19445,715,247,15,10799,176
9,Austria,21481,96,719,1,19336,273
10,Azerbaijan,32910,226,473,5,28348,588
11,Bahamas,715,36,14,0,91,0
12,Bahrain,42132,297,151,1,39335,328
13,Bangladesh,244020,1918,3234,50,139860,1955
14,Barbados,132,0,7,0,98,0
15,Belarus,68250,84,574,3,63163,220
16,Belgium,70648,334,9852,2,17639,41
17,Belize,57,0,2,0,30,0
18,Benin,1914,109,38,2,1036,0
19,Bhutan,105,2,0,0,93,3
20,Bolivia,83361,1515,3320,92,25390,880
21,Bosnia and Herzegovina,12856,394,373,11,6592,233
22,Botswana,804,0,2,0,63,0
23,Brazil,2801921,51603,95819,1154,2157484,58508
24,Brunei Darussalam,141,0,3,0,138,0
25,Bulgaria,12414,255,415,11,6964,280
26,Burkina Faso,1153,3,54,1,947,0
27,Burundi,395,0,1,0,304,0
28,Cambodia,243,3,0,0,202,5
29,Cameroon,17718,463,391,0,15320,0
30,Canada,119646,686,9004,10,104058,774
31,Cape Verde,2631,48,26,1,1930,19
32,Central African Republic,4618,4,59,0,1640,5
33,Chad,938,2,75,0,814,0
34,Chile,362962,1469,9745,38,336330,2354
35,China,88206,107,4676,4,81234,121
36,Colombia,334979,7129,11315,298,180258,6531
37,Comoros,388,2,7,0,340,10
38,Congo (Brazzaville),3546,0,58,0,1589,0
39,Congo (Kinshasa),9178,45,215,0,7727,303
40,Costa Rica,19837,435,181,10,6590,1901
41,Croatia,5318,24,154,1,4517,79
42,Cuba,2701,31,88,1,2382,9
43,Cyprus,1180,25,19,0,856,0
44,Czech Republic,17286,278,386,0,11812,104
45,Côte d'Ivoire,16293,73,103,1,11955,68
46,Denmark,14314,79,616,0,12920,33
47,Djibouti,5248,8,59,0,5044,16
48,Dominica,18,0,0,0,18,0
49,Dominican Republic,74295,1178,1213,30,38824,0
50,Ecuador,87963,922,5808,41,70985,11641
51,Egypt,94752,112,4912,24,45569,1503
52,El Salvador,18262,419,486,9,8954,145
53,Equatorial Guinea,4821,0,83,0,2182,0
