,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,3224,330,95,5,421,24
2,Albania,820,17,31,0,570,27
3,Algeria,4838,190,470,5,2067,69
4,American Samoa,0,0,0,0,0,0
5,Andorra,751,1,46,1,514,15
6,Angola,36,1,2,0,11,0
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,25,0,3,0,16,1
10,Argentina,5020,133,264,4,1472,30
11,Armenia,2619,112,40,1,1111,40
12,Aruba,0,0,0,0,0,0
13,Australia,6875,6875,97,97,5975,5975
14,Austria,15650,29,606,6,13462,146
15,Azerbaijan,2060,76,26,0,1508,28
16,Bahamas,89,6,11,0,26,1
17,Bahrain,3720,187,8,0,1762,18
18,Bangladesh,10929,786,183,1,1403,194
19,Barbados,82,0,7,0,47,1
20,Belarus,18350,861,107,4,3771,512
21,Belgium,50509,242,8016,92,12441,63
22,Belize,18,0,2,0,16,2
23,Benin,96,0,2,0,50,0
24,Bermuda,0,0,0,0,0,0
25,Bhutan,7,0,0,0,5,0
26,Bolivia,1802,121,86,4,187,13
27,Bosnia and Herzegovina,1946,20,79,1,911,56
28,Botswana,23,0,1,0,8,0
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,115455,6835,7938,571,48221,2406
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,138,0,1,0,131,1
34,Bulgaria,1704,52,80,2,342,21
35,Burkina Faso,688,16,48,2,548,3
36,Burundi,15,0,1,0,7,0
37,Cambodia,122,0,0,0,120,0
38,Cameroon,2104,0,64,0,953,0
39,Canada,63201,1245,4189,187,26030,0
40,Cape Verde,186,11,2,0,37,0
41,Cayman Islands,0,0,0,0,0,0
42,Central African Republic,85,0,0,0,10,0
43,Chad,170,53,17,7,43,4
44,Chile,22016,1373,275,5,10710,295
45,China,83966,83966,4637,4637,78857,78857
46,Christmas Island,0,0,0,0,0,0
47,Cocos (Keeling) Islands,0,0,0,0,0,0
48,Colombia,8613,640,378,20,2013,206
49,Comoros,3,0,0,0,0,0
50,Congo (Brazzaville),236,0,10,0,26,0
