,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,ALA Aland Islands,0,0,0,0,0,0
1,Afghanistan,555,34,18,3,32,0
2,Albania,433,17,23,0,197,15
3,Algeria,1825,64,275,19,460,55
4,American Samoa,0,0,0,0,0,0
5,Andorra,601,0,26,0,71,0
6,Angola,19,0,2,0,4,2
7,Anguilla,0,0,0,0,0,0
8,Antarctica,0,0,0,0,0,0
9,Antigua and Barbuda,21,2,2,0,0,0
10,Argentina,1975,0,83,1,440,65
11,Armenia,967,30,13,1,173,24
12,Aruba,0,0,0,0,0,0
13,Australia,6303,88,57,3,1806,13
14,Austria,13806,251,337,18,6604,540
15,Azerbaijan,1058,67,11,1,200,41
16,Bahamas,46,4,8,0,5,0
17,Bahrain,1040,115,6,0,555,16
18,Bangladesh,482,58,30,3,36,3
19,Barbados,68,1,4,0,11,0
20,Belarus,2226,245,23,4,172,3
21,Belgium,28018,1351,3346,327,5986,418
22,Belize,13,3,2,0,0,0
23,Benin,35,0,1,0,5,0
24,Bermuda,0,0,0,0,0,0
25,Bhutan,5,0,0,0,2,0
26,Bolivia,275,7,20,1,2,0
27,Bosnia and Herzegovina,946,45,37,1,139,10
28,Botswana,13,0,1,0,0,0
29,Bouvet Island,0,0,0,0,0,0
30,Brazil,20727,1089,1124,67,173,0
31,British Indian Ocean Territory,0,0,0,0,0,0
32,British Virgin Islands,0,0,0,0,0,0
33,Brunei Darussalam,136,0,1,0,104,5
34,Bulgaria,661,26,28,3,62,8
35,Burkina Faso,484,41,27,3,155,9
36,Burundi,5,2,0,0,0,0
37,Cambodia,120,1,0,0,75,3
38,Cameroon,820,0,12,0,98,0
39,Canada,23316,1257,653,97,6589,734
40,Cape Verde,8,1,1,0,1,0
41,Cayman Islands,0,0,0,0,0,0
42,Central African Republic,8,0,0,0,0,0
43,Chad,11,0,0,0,2,0
44,Chile,6927,426,73,8,1864,293
45,China,83014,73,3343,3,77877,86
46,Christmas Island,0,0,0,0,0,0
47,Cocos (Keeling) Islands,0,0,0,0,0,0
48,Colombia,2709,236,100,20,214,17
49,Comoros,0,0,0,0,0,0
50,Congo (Brazzaville),60,0,5,0,5,0
51,Congo (Kinshasa),223,8,20,0,16,3
52,Cook Islands,0,0,0,0,0,0
53,Costa Rica,577,19,3,0,49,7
54,Croatia,1534,39,21,0,323,92
55,Cuba,620,56,16,1,77,26
56,Cyprus,616,21,10,0,61,3
57,Czech Republic,5831,99,129,10,411,65
58,Côte d'Ivoire,533,89,4,1,58,6
59,Denmark,6191,177,260,13,2111,182
60,Djibouti,187,37,2,1,36,0
61,Dominica,16,0,0,0,5,0
62,Dominican Republic,2759,139,135,9,108,10
63,Ecuador,7257,96,315,18,411,43
64,Egypt,1939,145,146,11,426,42
65,El Salvador,118,1,6,0,19,4
66,Equatorial Guinea,18,0,0,0,3,0
67,Eritrea,34,0,0,0,0,0
68,Estonia,1304,46,24,0,93,0
69,Ethiopia,69,4,3,0,10,6
70,Falkland Islands (Malvinas),0,0,0,0,0,0
71,Faroe Islands,0,0,0,0,0,0
72,Fiji,16,0,0,0,0,0
73,Finland,2905,136,49,1,300,0
74,France,130727,4796,13851,636,26663,1468
75,French Guiana,0,0,0,0,0,0
76,French Polynesia,0,0,0,0,0,0
77,French Southern Territories,0,0,0,0,0,0
78,Gabon,46,2,1,0,1,0
79,Gambia,9,5,1,0,2,0
80,Georgia,242,8,3,0,60,6
81,Ghana,408,30,8,2,4,0
82,Gibraltar,0,0,0,0,0,0
83,Greece,2081,70,93,1,269,0
84,Greenland,0,0,0,0,0,0
85,Grenada,14,0,0,0,0,0
86,Guadeloupe,0,0,0,0,0,0
87,Guam,0,0,0,0,0,0
88,Guatemala,137,11,3,0,19,2
89,Guernsey,0,0,0,0,0,0
90,Guinea,250,38,0,0,17,2
91,Guinea-Bissau,38,2,0,0,0,0
92,Guyana,45,8,6,0,8,0
93,Haiti,33,2,2,0,0,0
94,Heard and Mcdonald Islands,0,0,0,0,0,0
95,Holy See (Vatican City State),8,0,0,0,2,0
96,Honduras,392,10,24,1,7,0
97,"Hong Kong, SAR China",0,0,0,0,0,0
98,Hungary,1310,120,85,8,115,3
99,Iceland,1689,14,8,1,841,90
100,India,8446,848,288,42,969,195
101,Indonesia,3842,330,327,21,286,4
102,"Iran, Islamic Republic of",70029,1837,4357,125,41947,6482
103,Iraq,1318,39,72,2,601,51
104,Ireland,8928,839,320,33,25,0
105,Isle of Man,0,0,0,0,0,0
106,Israel,10743,335,101,6,1341,158
107,Italy,152271,4694,19468,619,32534,2079
108,Jamaica,65,2,4,0,13,0
109,Japan,6005,475,99,0,762,77
110,Jersey,0,0,0,0,0,0
111,Jordan,381,9,7,0,177,7
112,Kazakhstan,865,53,10,0,81,17
113,Kenya,191,2,7,0,24,2
114,Kiribati,0,0,0,0,0,0
115,Korea (North),0,0,0,0,0,0
116,Korea (South),10480,30,211,3,7243,126
117,Kuwait,1154,161,1,0,133,10
118,Kyrgyzstan,339,41,5,0,44,9
119,Lao PDR,18,2,0,0,0,0
120,Latvia,630,18,3,0,16,0
121,Lebanon,619,10,20,0,77,1
122,Lesotho,0,0,0,0,0,0
123,Liberia,48,11,5,0,3,0
124,Libya,24,0,1,0,8,0
125,Liechtenstein,79,0,1,0,55,0
126,Lithuania,1026,27,23,1,54,0
127,Luxembourg,3270,47,62,8,500,0
128,"Macao, SAR China",0,0,0,0,0,0
129,"Macedonia, Republic of",760,49,34,2,41,0
130,Madagascar,102,9,0,0,11,0
131,Malawi,12,3,2,1,0,0
132,Malaysia,4530,184,73,3,1995,165
133,Maldives,19,0,0,0,13,0
134,Mali,87,0,7,0,22,0
135,Malta,370,20,3,1,16,0
136,Marshall Islands,0,0,0,0,0,0
137,Martinique,0,0,0,0,0,0
138,Mauritania,7,0,1,0,2,0
139,Mauritius,319,1,9,0,28,5
140,Mayotte,0,0,0,0,0,0
141,Mexico,3844,403,233,39,633,0
142,"Micronesia, Federated States of",0,0,0,0,0,0
143,Moldova,1560,122,30,1,75,19
144,Monaco,92,2,1,0,5,0
145,Mongolia,16,0,0,0,4,0
146,Montenegro,263,8,2,0,5,1
147,Montserrat,0,0,0,0,0,0
148,Morocco,1545,97,111,4,146,24
149,Mozambique,20,0,0,0,2,0
150,Myanmar,38,11,3,0,2,0
151,Namibia,16,0,0,0,3,0
152,Nauru,0,0,0,0,0,0
153,Nepal,9,0,0,0,1,0
154,Netherlands,24571,1322,2653,133,291,4
155,Netherlands Antilles,0,0,0,0,0,0
156,New Caledonia,0,0,0,0,0,0
157,New Zealand,1312,29,4,2,422,49
158,Nicaragua,8,1,1,0,0,0
159,Niger,491,53,11,0,41,0
160,Nigeria,318,13,10,3,70,12
161,Niue,0,0,0,0,0,0
162,Norfolk Island,0,0,0,0,0,0
163,Northern Mariana Islands,0,0,0,0,0,0
164,Norway,6409,95,119,6,32,0
165,Oman,546,62,3,0,109,0
166,Pakistan,5011,316,86,20,762,35
167,Palau,0,0,0,0,0,0
168,Palestinian Territory,268,1,2,0,57,12
169,Panama,2974,222,74,8,17,1
170,Papua New Guinea,2,0,0,0,0,0
171,Paraguay,133,4,6,0,18,0
172,Peru,6848,951,181,12,1739,170
173,Philippines,4428,233,247,26,157,17
174,Pitcairn,0,0,0,0,0,0
175,Poland,6356,401,208,27,375,57
176,Portugal,15987,515,470,35,266,33
177,Puerto Rico,0,0,0,0,0,0
178,Qatar,2728,216,6,0,247,20
179,Republic of Kosovo,283,33,7,0,58,6
180,Romania,5990,523,291,21,758,29
181,Russian Federation,13584,1667,106,12,1045,250
182,Rwanda,120,2,0,0,18,11
183,Réunion,0,0,0,0,0,0
184,Saint Helena,0,0,0,0,0,0
185,Saint Kitts and Nevis,12,0,0,0,0,0
186,Saint Lucia,15,0,0,0,1,0
187,Saint Pierre and Miquelon,0,0,0,0,0,0
188,Saint Vincent and Grenadines,12,0,0,0,1,0
189,Saint-Barthélemy,0,0,0,0,0,0
190,Saint-Martin (French part),0,0,0,0,0,0
191,Samoa,0,0,0,0,0,0
192,San Marino,356,12,35,1,53,3
193,Sao Tome and Principe,4,0,0,0,0,0
194,Saudi Arabia,4033,382,52,5,720,35
195,Senegal,278,13,2,0,152,15
196,Serbia,3380,275,74,3,0,0
197,Seychelles,11,0,0,0,0,0
198,Sierra Leone,8,0,0,0,0,0
199,Singapore,2299,191,8,1,528,36
200,Slovakia,728,13,2,0,23,0
201,Slovenia,1188,28,50,5,148,11
202,Solomon Islands,0,0,0,0,0,0
203,Somalia,21,0,1,0,1,0
204,South Africa,2028,25,25,1,410,0
205,South Georgia and the South Sandwich Islands,0,0,0,0,0,0
206,South Sudan,4,0,0,0,0,0
