,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,,0,0,0,0,0,0
1, Azerbaijan,0,0,0,0,0,0
2,Afghanistan,281,8,6,0,10,0
3,Albania,304,27,17,1,89,13
4,Algeria,1171,185,105,19,62,1
5,Andorra,439,11,16,1,16,6
6,Angola,8,0,2,0,1,0
7,Antigua and Barbuda,15,6,0,0,0,0
8,Argentina,1265,132,39,3,266,10
9,Armenia,736,73,7,0,43,10
10,Aruba,4,0,0,0,0,0
11,Australia,5330,214,28,4,649,129
12,Austria,11524,395,168,10,2022,273
13,Azerbaijan,443,43,5,0,32,6
14,Bahamas,24,0,1,0,1,0
15,"Bahamas, The",4,0,0,0,0,0
16,Bahrain,672,29,4,0,382,1
17,Bangladesh,61,5,6,0,26,1
18,Barbados,51,5,0,0,0,0
19,Belarus,351,47,4,0,53,0
20,Belgium,16770,1422,1143,132,2872,377
21,Belize,4,1,0,0,0,0
22,Benin,16,3,0,0,2,1
23,Bhutan,5,0,0,0,2,1
24,Bolivia,132,9,9,1,1,0
25,Bosnia and Herzegovina,579,46,17,1,27,7
26,Botswana,4,0,1,0,0,0
27,Brazil,9056,1012,359,35,127,0
28,Brunei,134,1,1,0,65,9
29,Bulgaria,485,28,14,4,30,5
30,Burkina Faso,302,14,16,0,50,0
31,Burma,20,0,1,0,0,0
32,Burundi,3,0,0,0,0,0
33,Cabo Verde,6,0,1,0,0,0
34,Cambodia,114,4,0,0,35,1
35,Cameroon,509,203,8,1,17,7
36,Canada,12437,1153,179,40,2175,440
37,Cape Verde,0,0,0,0,0,0
38,Cayman Islands,1,0,0,0,0,0
39,Central African Republic,8,5,0,0,0,0
40,Chad,8,0,0,0,0,0
41,Channel Islands,0,0,0,0,0,0
42,Chile,3737,333,22,4,427,92
43,China,82511,79,3326,4,76760,195
44,Colombia,1267,106,25,6,55,0
45,Congo (Brazzaville),22,0,2,0,2,0
46,Congo (Kinshasa),134,0,13,0,3,0
47,Costa Rica,416,20,2,0,11,5
48,Cote d'Ivoire,218,24,1,0,19,4
49,Croatia,1079,68,8,1,92,4
50,Cruise Ship,712,0,8,0,567,242
51,Cuba,269,36,6,0,15,2
52,Curacao,0,0,0,0,0,0
53,Cyprus,396,40,11,1,28,0
54,Czechia,4091,233,53,9,72,5
55,Denmark,3946,373,139,16,1287,115
56,Diamond Princess,712,0,11,0,619,0
57,Djibouti,49,9,0,0,8,8
58,Dominica,12,0,0,0,0,0
59,Dominican Republic,1488,108,68,8,16,0
60,East Timor,0,0,0,0,0,0
61,Ecuador,3368,205,145,25,65,0
62,Egypt,985,120,66,8,216,15
63,El Salvador,46,5,2,0,0,0
64,Equatorial Guinea,16,1,0,0,1,0
65,Eritrea,22,0,0,0,0,0
66,Estonia,961,103,12,1,48,3
67,Eswatini,9,0,0,0,0,0
68,Ethiopia,35,6,0,0,3,0
69,Faroe Islands,2,0,0,0,0,0
70,Fiji,7,0,0,0,0,0
71,Finland,1615,97,20,1,300,0
